prison	name	official-name	organisation	address	start-date	end-date
AC	Altcourse	HMP/YOI Altcourse	company:02984969	38076557		
AS	Ashfield	HMP Ashfield	company:03403669	640757		
AG	Askham Grange	HMP/YOI Askham Grange		100052211414		
AY	Aylesbury	HMYOI Aylesbury		766259071		
BF	Bedford	HMP/YOI Bedford		100081206238		
BA	Belmarsh	HMP/YOI Belmarsh		100023266926		
BM	Birmingham	HMP Birmingham	company:00390328	100071434380		
BH	Blantyre House	HMP Blantyre House		10000064793		
BS	Brinsford	HMP/YOI Brinsford		200004529143		
BL	Bristol	HMP/YOI Bristol		221691		
BX	Brixton	HMP Brixton		200000487964		
BZ	Bronzefield	HMP/YOI Bronzefield (F)	company:04334205	33043320		
BC	Buckley Hall	HMP Buckley Hall		23107795		
BN	Bullingdon	HMP/YOI Bullingdon		100120801929		
BR	Bure	HMP Bure		10023452387		
CF	Cardiff	HMP/YOI Cardiff		200002933741		
CW	Channings Wood	HMP Channings Wood		10032952569		
CD	Chelmsford	HMP/YOI Chelmsford		200004625000		
CL	Coldingley	HMP Coldingley		200001339117		
CK	Cookham Wood	HMYOI Cookham Wood		100062374701		
DA	Dartmoor	HMP Dartmoor		10001330266		
DT	Deerbolt	HMYOI Deerbolt		10070413833		
DN	Doncaster	HMP/YOI Doncaster	company:00242246	100052207601		
DG	Dovegate	HMP Dovegate	company:03471077	10008039764		
DV	Dover			10034883299		2015
DW	Downview	HMP/YOI Downview		68136669		
DH	Drake Hall	HMP/YOI Drake Hall		10002088530		
DM	Durham	HMP/YOI Durham		100110738556		
ES	East Sutton Park	HMP/YOI East Sutton Park		10022897161		
EW	Eastwood Park	HMP/YOI Eastwood Park		582216		
EY	Elmley	HMP/YOI Elmley		100062087837		
EE	Erlestoke	HMP Erlestoke		10000177465		
EX	Exeter	HMP/YOI Exeter		100041142520		
FS	Featherstone	HMP Featherstone		100032229278		
FM	Feltham	HMYOI Feltham		100023398319		
FD	Ford	HMP Ford		200002714169		
FB	Forest Bank	HMP/YOI Forest Bank	company:03509050	100012692516		
FH	Foston Hall	HMP/YOI Foston Hall		10000819194		
FK	Frankland	HMP Frankland		10001009852		
FN	Full Sutton	HMP Full Sutton		200000641988		
GH	Garth	HMP Garth		200004064874		
GT	Gartree	HMP Gartree		100030489952		
GP	Glen Parva	HMP/YOI Glen Parva		10010147357		
GN	Grendon	HMP Grendon		766293688		
GM	Guys Marsh	HMP Guys Marsh		10013217671		
HR	Haslar			37032487		2015
HD	Hatfield	HMP/YOI Hatfield		100050785306		
HV	Haverigg	HMP Haverigg		100110755872		
HE	Hewell	HMP Hewell		100121267009		
HO	High Down	HMP/YOI High Down		100062499824		
HP	Highpoint	HMP Highpoint		10010693330		
HI	Hindley	HMP/YOI Hindley		100012815264		
HB	Hollesley Bay	HMP/YOI Hollesley Bay		10008620964		
HH	Holme House	HMP/YOI Holme House		100110796240		
HL	Hull	HMP/YOI Hull		21138448		
EV	Humber	HMP Humber		200000644367		
HC	Huntercombe	HMP Huntercombe (FNP)		100121308432		
IS	Isis	HMP/YOI Isis				
PK	Isle of Wight	HMP/YOI Isle of Wight		10003332444		
KT	Kennet	HMP Kennet		41218084		
KM	Kirkham	HMP Kirkham		100012390917		
KV	Kirklevington Grange	HMP Kirklevington Grange		100110778426		
LF	Lancaster Farms	HMP Lancaster Farms		200001339049		
LE	Leeds	HMP Leeds		72079826		
LC	Leicester	HMP Leicester		2465057785		
LW	Lewes	HMP/YOI Lewes		100062273779		
LY	Leyhill	HMP Leyhill		582486		
LI	Lincoln	HMP/YOI Lincoln		235033467		
LH	Lindholme	HMP Lindholme		10006712272		
LT	Littlehey	HMP Littlehey		10000161141		
LP	Liverpool	HMP Liverpool		38079136		
LL	Long Lartin	HMP Long Lartin		10013943723		
LN	Low Newton	HMP/YOI Low Newton		100110739224		
LG	Lowdham Grange	HMP Lowdham Grange	company:03154430	10008170171		
MS	Maidstone	HMP Maidstone (FNP)		200003717305		
MR	Manchester	HMP/YOI Manchester		77232134		
MD	Moorland	HMP/YOI Moorland		100051984633		
MH	Morton Hall	HMIRC Morton Hall (IRC)		10006531346		
NH	New Hall	HMP/YOI New Hall		63141057		
NS	North Sea Camp	HMP North Sea Camp		100032166609		
AK	Northumberland	HMP Northumberland	company:00842846	10024651947		
NW	Norwich	HMP/YOI Norwich		10009434824		
NM	Nottingham	HMP/YOI Nottingham		200001412499		
FS	Oakwood	HMP Oakwood	company:00390328	10090090220		
ON	Onley	HMP Onley		28013722		
PR	Parc	HMP/YOI Parc (YP)	company:03045222	200002656535		
PV	Pentonville	HMP/YOI Pentonville		5300014341		
PB	Peterborough	HMP/YOI Peterborough (F)	company:04350276	10008051379		
PD	Portland	HMP/YOI Portland		10070567623		
PN	Preston	HMP/YOI Preston		100012746893		
RN	Ranby	HMP Ranby		10013978351		
RS	Risley	HMP Risley		100012381987		
RC	Rochester	HMP/YOI Rochester		44010823		
RH	Rye Hill	HMP Rye Hill	company:03682678	28042679		
SD	Send	HMP/YOI Send		10007066161		
GN	Spring Hill	HMP Spring Hill		766293688		
SF	Stafford	HMP Stafford		200001335547		
EH	Standford Hill	HMP Standford Hill		200002533135		
SK	Stocken	HMP Stocken		10008626900		
SH	Stoke Heath	HMP/YOI Stoke Heath		10013133936		
ST	Styal	HMP/YOI Styal		100012881776		
SU	Sudbury	HMP Sudbury		10070076922		
SL	Swaleside	HMP Swaleside		100062087838		
SW	Swansea	HMP/YOI Swansea		100100986762		
SN	Swinfen Hall	HMP/YOI Swinfen Hall		10013212207		
TH	Thameside	HMP/YOI Thameside	company:07279250	10010227695		
MT	The Mount	HMP The Mount		200004050582		
VE	The Verne	HMIRC The Verne (IRC)		10070565745		
TC	Thorn Cross	HMP/YOI Thorn Cross		200000978972		
UP	Usk/Prescoed (Prescoed)	HMP Usk and HMP/YOI Prescoed		10033348129		
UK	Usk/Prescoed (Usk)	HMP Usk and HMP/YOI Prescoed		200000955803		
WD	Wakefield	HMP Wakefield		63131104		
WW	Wandsworth	HMP/YOI Wandsworth		121050999		
WI	Warren Hill	HMP/YOI Warren Hill		10008620969		
WL	Wayland	HMP Wayland		10011970324		
WE	Wealstun	HMP Wealstun		72384891		
WN	Werrington	HMYOI Werrington		200001581565		
WY	Wetherby	HMYOI Wetherby		72555064		
WT	Whatton	HMP Whatton		3040053432		
WR	Whitemoor	HMP Whitemoor		100091516265		
WC	Winchester	HMP/YOI Winchester		100062015988		
WH	Woodhill	HMP/YOI Woodhill		25006001		
WS	Wormwood Scrubs	HMP/YOI Wormwood Scrubs		34020469		
WM	Wymott	HMP/YOI Wymott		200004064883		
